ITEM_EQUIP_ID,NAME,NAME_SHORT,RARE,EQUIP_TYPE,SEX,ELEM,PARAMETER_INFO,RESIST_ELEM_INFO,RESIST_STATUS_INFO,PASSIVE_SKILL_INFO,UNIT_DRESS_ID,EXT_PARAM,SERIAL_NUM,ICON_AB_ID,SWITCH_ID,MAX_LV,EQUIP_GROWTH_TYPE,PARAMETER_MAX_INFO,EQUIP_ENHANCE_ID,SORT_ORDER,EVENT_BOOST_PASSIVE_SKILL_INFO,sheet
101014,Shining Blade,Shining Blade,4,10,0,5,0:0:94:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010140,0,,100140,1200000,2000353,0,0,0:0:94:0:0:0,0,1010140,0,1458120013
101015,The Sword of Kusanagi,The Sword of Kusanagi,6,10,0,0,0:0:179:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,100150,1200000,2000012,40,0,0:0:278:0:0:0,0,1010150,0,3605675836
101016,Star Sword Iometis,Star Sword Iometis,4,10,0,0,0:0:101:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010130,0,,100160,1200000,2000013,40,0,0:0:200:0:0:0,0,1010160,0,1053203836
101017,Kikuichimonji,Kikuichimonji,6,10,0,0,0:0:171:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010170,0,,100810,1200000,2000319,40,0,0:0:270:0:0:0,0,1010170,0,3758387333
101018,Dual Blades Gladius,Dual Blades Gladius,4,10,0,0,0:0:71:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010180,0,,100920,1200000,2000334,0,0,0:0:71:0:0:0,0,1010180,0,1419943463
101019,Cursed Sword Crestbane,Cursed Sword Crestbane,6,10,0,6,0:0:0:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010190,0,,100950,1200000,2000434,40,0,0:0:99:0:0:0,0,1010190,0,3436586830
101020,Fireblade Beivolgg,Fireblade Beivolgg,4,10,0,1,0:0:95:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010200,0,,100960,1200000,2000443,0,0,0:0:95:0:0:0,0,1010200,0,713538445
101021,Mana Sword,Mana Sword,6,10,0,0,300:0:185:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010210,0,,100860,1200000,2000469,0,0,300:0:185:0:0:0,0,1010210,0,1357110357
101022,Celebratory Blade,Celebratory Blade,4,10,0,0,66:0:6:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010220,0,,100990,1200000,2000477,40,3,66:0:46:0:0:0,0,1010220,0,3201272929
101023,Briskblade Zestina,Briskblade Zestina,6,10,0,2,0:0:192:30:0:30,0:0:0:0:0:0,0:0:0:0:0:0,1010230,0,,101020,1200000,2000513,40,0,0:0:291:30:0:30,0,1010230,0,3247624261
101024,Phantom Holyblade,Phantom Holyblade,6,10,0,0,0:0:130:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010240,0,,101050,1200000,2000544,40,0,0:0:229:0:0:0,0,1010240,0,3851509271
101025,Calamitus,Calamitus,4,10,0,6,0:0:82:25:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010250,0,,101090,1200000,2000570,0,0,0:0:82:25:0:0,0,1010250,0,2757685472
101026,Scarlet Blade Glazberg,Scarlet Blade Glazberg,5,10,0,6,0:0:135:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010260,100060,,101100,1200000,2000571,40,0,0:0:234:0:0:0,0,1010260,0,566315316
101027,Twin-Bolt Beilun,Twin-Bolt Beilun,5,10,0,4,0:0:130:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010270,200301,,101180,1200000,2000610,40,0,0:0:229:0:0:0,0,1010270,0,1954047378
101028,Twin-Bolt Dispal,Twin-Bolt Dispal,5,10,0,4,0:15:100:0:0:80,0:0:0:0:0:0,0:0:0:0:0:0,1010280,200301,,101190,1200000,2000611,40,0,0:15:199:0:0:80,0,1010280,0,1261020791
101029,Crimzonian Edge,Crimzonian Edge,5,10,0,0,0:0:125:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010290,100110,,101230,1200000,2000661,40,0,0:0:224:0:0:0,0,1010290,0,3285533489
101030,Galdisian Thunderclap,Galdisian Thunder,5,10,0,4,0:0:118:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010300,0,,101430,1200000,2000682,40,0,0:0:217:0:0:0,0,1010300,0,3863055350
101031,Blaze Blade EX,Blaze Blade EX,6,10,0,0,0:0:173:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,101330,1200000,2000712,40,0,0:0:272:0:0:0,0,1010310,0,3780287259
101032,Deathbringer [Mana],Deathbringer [Mana],5,10,0,0,0:0:135:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010320,500010,,101480,1200000,2000730,0,0,0:0:135:0:0:0,0,1010320,0,2486887644
101033,Zellbius Blade,Zellbius Blade,7,10,0,5,0:20:225:0:143:0,0:0:0:0:0:0,0:0:0:0:0:0,1010330,0,,101370,1200000,2000746,40,0,0:20:324:0:143:0,0,1010330,0,3417327752
101034,創世祭の剣,創世祭の剣,6,10,0,0,0:0:175:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010340,0,,101490,1200000,2000751,0,0,0:0:0:0:0:0,0,1010340,0,3353353893
101035,Scarlet Blade,Scarlet Blade,6,10,0,0,200:0:158:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010350,0,,101500,1200000,2000774,0,0,0:0:0:0:0:0,0,1010350,0,910799679
101036,Kohaku's Knives,Kohaku's Knives,5,10,0,0,0:0:120:20:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010360,500120,,101380,1200000,2000834,0,0,0:0:0:0:0:0,0,1010360,0,3060801863
101037,Ishigami Village Katana,Ishigami Village Katana,4,10,0,0,0:0:95:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010370,0,,101390,1200000,2000835,0,0,0:0:0:0:0:0,0,1010370,0,1558995427
101038,Holy Sword Lafine,Holy Sword Lafine,5,10,0,0,0:0:135:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,2020420,100260,,101600,1200000,2000866,40,0,0:0:234:0:0:0,0,1010380,0,3139749938
101039,Holytree Blades,Holytree Blades,5,10,0,0,0:0:125:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010390,200320,,101620,1200000,2000899,40,0,0:0:224:0:0:0,0,1010390,0,1050200879
101040,Blue Branchforger,Blue Branchforger,4,10,0,0,0:0:92:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010400,0,,101630,1200000,2000900,0,0,0:0:0:0:0:0,0,1010400,0,3073549152
101041,Violet Treewinners,Violet Treewinners,6,10,0,0,0:0:152:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010410,200320,,101640,1200000,2000901,0,0,0:0:0:0:0:0,0,1010410,0,4134905711
101042,Grudge of the Earth,Earth Grudge,5,10,0,0,0:0:122:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010420,0,,101650,1200000,2000902,40,0,0:0:221:0:0:0,0,1010420,0,3452640087
101043,Rimuru's Sword,Rimuru's Sword,5,10,0,1,0:0:110:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010430,500210,,101660,1200000,2000903,0,0,0:0:0:0:0:0,0,1010430,0,881169415
101044,Hercules' Edge,Hercules' Edge,5,10,0,0,0:0:80:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010440,0,,101680,1200000,2000904,40,1,0:0:160:0:0:0,0,1010440,0,2564549209
101045,Kaijin's Longsword,Kaijin's Longsword,6,10,0,0,0:0:115:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010450,0,,101530,1200000,2000924,0,0,0:0:0:0:0:0,0,1010450,0,713557472
101046,Zajador Sword [Broken],Zajador Sword [Broken],5,10,0,6,0:0:118:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010460,0,,101770,1200000,2000931,40,0,0:0:217:0:0:0,0,1010460,0,3142280543
101047,Paladin Brand,Paladin Brand,4,10,0,5,0:0:33:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,101860,1200000,2010030,40,2,0:0:93:0:0:0,0,1010470,0,1626128514
101048,Uncanny Blade Ogetsu,Uncanny Blade Ogetsu,5,10,0,0,0:0:176:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010480,200221,,101950,1200000,2010031,40,0,0:0:275:0:0:0,0,1010480,0,772820244
101049,Treasure Sword ~D~Kunikami~D~,Kunikami,5,10,0,0,0:0:127:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010490,0,,101890,1200000,2010058,0,0,0:0:0:0:0:0,0,1010490,0,663993354
101050,Ritublade Maurius,Ritublade Maurius,6,10,0,5,0:0:177:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010500,0,,101930,1200000,2010067,40,3,0:0:217:0:0:0,0,1010500,0,3485354720
101051,Magic Blade Zenapish,Magic Blade Zenapish,6,10,0,0,0:0:151:0:30:0,0:0:0:0:0:0,0:0:0:0:0:0,1010510,0,,101940,1200000,2010068,0,0,0:0:0:0:0:0,0,1010510,0,3145984738
101052,Steelrender Val D'arc,Steelrender Val D'arc,5,10,0,4,0:0:168:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010520,100090,,102040,1200000,2010096,0,0,0:0:0:0:0:0,0,1010520,0,2665499039
101053,Rem's Mop,Rem's Mop,4,12,0,0,0:0:70:6:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010530,0,,101980,1200000,2010103,40,2,0:0:120:10:0:0,0,1030261,0,2397180024
101054,"Zanya, Ninja Mastersword",Zanya,5,10,0,0,0:0:176:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010540,200350,,102010,1200000,2010163,40,0,0:0:275:0:0:0,0,1010540,0,2572733982
101055,Ninjablade Jin,Ninjablade Jin,4,10,0,0,0:0:61:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010550,0,,102020,1200000,2010164,40,3,0:0:122:0:0:0,0,1010550,0,3074137334
101056,Haloblade Luculia,Haloblade Luculia,5,10,0,5,0:0:166:31:0:24,0:0:0:0:0:0,0:0:0:0:0:0,1010560,100470,,102080,1200000,2010191,40,0,0:0:265:31:0:24,0,1010560,0,1480215632
101057,Rayed Lightsword,Rayed Lightsword,5,10,0,5,0:0:128:12:0:11,0:0:0:0:0:0,0:0:0:0:0:0,1010570,0,,102160,1200000,2010194,0,0,0:0:0:0:0:0,0,1010570,0,3130898001
101058,Sword of Lost Souls,Sword of Lost Souls,7,10,0,0,500:0:250:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010580,0,,101960,1200000,2010203,0,0,0:0:0:0:0:0,0,1010580,0,1476903090
101059,Shineblade Sunblaze,Shineblade Sunblaze,5,10,0,3,0:0:131:0:124:0,0:0:0:0:0:0,0:0:0:0:0:0,1010590,100051,,102240,1200000,2010213,40,0,0:0:230:0:124:0,0,1010590,0,407595222
101060,Crystal Sword,Crystal Sword,5,10,0,0,0:0:130:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010600,0,,102270,1200000,2010221,40,0,0:0:229:0:0:0,0,1010600,0,2400352147
101061,Gunblade Waveslicer,Gunblade Waveslicer,5,15,0,2,0:0:176:22:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010610,200311,,102280,1200000,2010268,40,0,0:0:275:22:0:0,0,1060198,0,3243661075
101062,Gunblade Violet Lull,Gunblade Violet Lull,4,15,0,2,0:0:94:15:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010620,0,,102290,1200000,2010269,0,0,0:0:0:0:0:0,0,1060199,0,2239808250
101063,Devil Sword Dante,Devil Sword Dante,5,10,0,1,0:0:176:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010630,500410,,102170,1200000,2010294,40,3,0:0:216:0:0:0,0,1010630,4000190,2725928710
101064,Red Queen,Red Queen,5,10,0,1,0:0:75:7:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010640,0,,102220,1200000,2010299,40,3,0:0:150:14:0:0,0,1010640,4000150,657586889
101065,Schlangenklinge,Schlangenklinge,5,10,0,0,0:0:177:10:0:10,0:0:0:0:0:0,0:0:0:0:0:0,1010650,100450,,102440,1200000,2010350,40,0,0:0:276:10:0:10,0,1010650,0,1668982942
101066,Aldanian Sword,Aldanian Sword,5,10,0,0,0:0:133:15:0:7,0:0:0:0:0:0,0:0:0:0:0:0,1010660,0,,102320,1200000,2010387,0,0,0:0:0:0:0:0,0,1010660,0,678794234
101067,Divine Sword Esterion,Divine Sword Esterion,6,10,0,0,0:0:212:30:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010670,0,,102300,1200000,2010403,0,0,0:0:0:0:0:0,0,1010670,0,3977266375
101068,Spirit Sword Kagutsuchi,Spirit Sword Kagutsuchi,7,10,0,1,0:0:255:30:0:15,0:0:0:0:0:0,0:0:0:0:0:0,1010680,0,,102460,1200000,2010601,40,0,0:0:354:30:0:15,0,1010680,0,1646025686
101069,Saintblade Zirveil,Saintblade Zirveil,5,10,0,5,0:0:169:22:0:11,0:0:0:0:0:0,0:0:0:0:0:0,1010690,100062,,102630,1200000,2010619,40,0,0:0:268:22:0:11,0,1010690,0,1503884746
101070,"Pure Blade, Muramasa","Pure Blade, Muramasa",7,10,0,0,0:0:266:36:0:18,0:0:0:0:0:0,0:0:0:0:0:0,1010700,0,,102470,1200000,2010717,40,0,0:0:365:36:0:18,0,1010700,0,2947928343
101071,Godblade Kagutsuchi,Godblade Kagutsuchi,8,10,0,1,0:0:368:48:0:24,0:0:0:0:0:0,0:0:0:0:0:0,1010710,0,,102700,1200000,2010727,40,0,0:0:467:48:0:24,0,1010710,0,1797741277
101072,Feather Sword,Feather Sword,5,10,0,1,50:0:141:0:0:14,0:0:0:0:0:0,0:0:0:0:0:0,1010720,0,,102730,1200000,2010799,0,0,0:0:0:0:0:0,0,1010720,0,3839138513
101073,Führer's Sword,Führer's Sword,5,10,0,0,0:0:97:5:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010730,0,,102710,1200000,2010835,40,2,0:0:137:24:0:0,0,1010730,0,793321710
101074,Ether Blade Type-S,Ether Blade Type-S,5,10,0,4,0:0:181:21:0:10,0:0:0:0:0:0,0:0:0:0:0:0,1010740,100471,,102870,1200000,2010841,40,0,0:0:280:21:0:10,0,1010740,0,1042896532
101075,Twin Blade,Twin Blade,5,10,0,4,200:0:149:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010750,0,,102890,1200000,2010846,0,0,0:0:0:0:0:0,0,1010750,0,2514775191
101076,Machine Sword,Machine Sword,6,10,0,5,0:0:210:24:0:12,0:0:0:0:0:0,0:0:0:0:0:0,1010760,0,,102790,1200000,2010928,0,0,0:0:0:0:0:0,0,1010760,0,2607919252
101077,Virtuous Treaty,Virtuous Treaty,5,10,0,0,0:0:181:30:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010770,500610,,102760,1200000,2010932,0,0,0:0:0:0:0:0,0,1010770,0,2131141041
101078,Type-4O Blade,Type-4O Blade,5,10,0,5,0:0:200:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010780,500630,,102770,1200000,2010934,0,0,0:0:0:0:0:0,0,1010780,0,297095345
101079,Cruel Oath,Cruel Oath,4,10,0,6,0:0:63:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010790,500620,,102810,1200000,2010936,40,2,0:0:126:0:0:0,0,1010790,0,1534975468
101080,Virtuous Contract,Virtuous Contract,5,10,0,0,0:0:72:8:0:4,0:0:0:0:0:0,0:0:0:0:0:0,1010800,0,,102820,1200000,2010939,40,2,0:0:145:17:0:9,0,1010800,0,1957191655
101081,Cruel Blood Oath,Cruel Blood Oath,5,10,0,6,0:0:78:5:0:2,0:0:0:0:0:0,0:0:0:0:0:0,1010810,0,,102830,1200000,2010944,40,2,0:0:156:10:0:5,0,1010810,0,812157117
101082,Crystalia Glimmerblade,Crystalia Glimmerblade,5,10,0,2,0:0:183:30:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010820,200141,,102950,1200000,2010973,40,0,0:0:183:129:0:0,0,1010820,0,2285267713
101083,Crystal Long Sword,Crystal Long Sword,5,10,0,2,0:0:135:30:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010830,0,,102960,1200000,2010975,0,0,0:0:0:0:0:0,0,1010830,0,2045882556
101084,Celebratory Longblade ,Celebratory Longblade ,5,10,0,0,0:0:45:17:0:8,0:0:0:0:0:0,0:0:0:0:0:0,1010840,0,,103110,1200000,2020011,0,0,0:0:0:0:0:0,0,1010840,0,3801788425
101085,Zedosion Blade [Broken],Zedosion Blade [Broken],5,10,0,6,0:0:98:32:0:32,0:0:0:0:0:0,0:0:0:0:0:0,1010850,0,,103190,1200000,2020017,40,0,0:0:197:32:0:32,0,1010850,0,3484889206
101086,Holy Blade Zajadosion,Holy Blade Zajadosion,8,10,0,5,0:0:352:48:0:48,0:0:0:0:0:0,0:0:0:0:0:0,1010860,0,,103200,1200000,2020018,40,0,0:0:451:48:0:48,0,1010860,0,2780587031
101087,Thundering Blade Zybold,Thundering Blade Zybold,5,10,0,4,0:0:193:17:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010870,100091,,103250,1200000,2020070,0,0,0:0:0:0:0:0,0,1010870,0,940499768
101088,Voltage Blade Zals,Voltage Blade Zals,5,10,0,4,0:0:150:17:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010880,0,,103260,1200000,2020072,0,0,0:0:0:0:0:0,0,1010880,0,3434398449
101089,Claiomh Solais,Claiomh Solais,5,10,0,1,0:0:142:17:0:8,0:0:0:0:0:0,0:0:0:0:0:0,1010890,0,,103030,1200000,2020133,0,0,0:0:0:0:0:0,0,1010890,0,3278456176
101090,True Sword Excalibur,True Sword Excalibur,7,10,0,5,0:0:253:36:0:36,0:0:0:0:0:0,0:0:0:0:0:0,1010900,0,,103310,1200000,2020157,40,0,0:0:352:36:0:36,0,1010900,0,3948795389
101091,Falconblade Hayabusa,Falconblade Hayabusa,5,10,0,0,0:10:145:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010910,0,,103440,1200000,2020204,0,0,0:0:0:0:0:0,0,1010910,0,1761198866
101092,Mikasa's Blade,Mikasa's Blade,6,10,0,4,0:0:253:21:0:21,0:0:0:0:0:0,0:0:0:0:0:0,1010920,500820,,103380,1200000,2020228,0,0,0:0:0:0:0:0,0,1010920,0,1709442510
101093,Levi's Blade,Levi's Blade,6,10,0,3,0:0:253:35:0:8,0:0:0:0:0:0,0:0:0:0:0:0,1010930,500830,,103390,1200000,2020230,0,0,0:0:0:0:0:0,0,1010930,0,3905443174
101094,Eren's Blade,Eren's Blade,6,10,0,5,0:0:195:24:0:12,0:0:0:0:0:0,0:0:0:0:0:0,1010940,500810,,103400,1200000,2020232,0,0,0:0:0:0:0:0,0,1010940,0,2918036525
101095,Snap Blade,Snap Blade,5,10,0,0,0:0:147:16:0:8,0:0:0:0:0:0,0:0:0:0:0:0,1010950,0,,103410,1200000,2020234,0,0,0:0:0:0:0:0,0,1010950,0,4095928274
101096,Levi's Duster,Levi's Duster,4,10,0,3,0:0:105:12:0:6,0:0:0:0:0:0,0:0:0:0:0:0,1010960,0,,103420,1200000,2020235,0,0,0:0:0:0:0:0,0,1010960,0,4181089594
101097,Demon Sword Tenma,Demon Sword Tenma,6,10,0,6,0:25:268:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010970,500221,,103450,1200000,2020315,0,0,0:0:0:0:0:0,0,1010970,0,409213117
101098,Moonlight Sword,Moonlight Sword,5,10,0,0,0:0:73:0:0:12,0:0:0:0:0:0,0:0:0:0:0:0,1010980,0,,103480,1200000,2020317,40,3,0:0:146:0:0:24,0,1010980,0,140513469
101099,Gobta's Short Sword,Gobta's Short Sword,5,10,0,0,0:0:72:14:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010990,0,,103490,1200000,2020318,40,3,0:0:144:27:0:0,0,1010990,0,3640345375
101100,Darkshear (Dexter),Darkshear (Dexter),6,10,0,5,0:0:268:22:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1011000,100640,,103500,1200000,2020332,0,0,0:0:0:0:0:0,0,1011000,0,2375206083
101101,Darkshear (Sinister),Darkshear (Sinister),6,10,0,5,0:0:268:0:0:22,0:0:0:0:0:0,0:0:0:0:0:0,1011010,100640,,103510,1200000,2020333,0,0,0:0:0:0:0:0,0,1011010,0,2965465334
101102,Gobl Sword,Gobl Sword,5,10,0,0,0:0:87:10:0:5,0:0:0:0:0:0,0:0:0:0:0:0,1011020,300020,,103690,1200000,2020342,40,2,0:0:174:20:0:10,0,1011020,0,1129161774
101103,Gobl Sword M,Gobl Sword M,7,10,0,0,0:0:204:28:0:14,0:0:0:0:0:0,0:0:0:0:0:0,1011030,300020,,103700,1200000,2020343,40,2,0:0:306:36:0:18,0,1011030,0,2126545838
101104,Scissor Blade (Right),Scissor Blade (Right),5,10,0,5,0:0:154:17:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1011040,0,,103520,1200000,2020432,0,0,0:0:0:0:0:0,0,1011040,0,929638471
101105,Scissor Blade (Left),Scissor Blade (Left),5,10,0,5,0:0:154:0:0:17,0:0:0:0:0:0,0:0:0:0:0:0,1011050,0,,103530,1200000,2020433,0,0,0:0:0:0:0:0,0,1011050,0,740807137
101106,Lona Luxe,Lona Luxe,6,10,0,5,0:0:173:11:0:11,0:0:0:0:0:0,0:0:0:0:0:0,1011060,0,,103630,1200000,2020446,0,0,0:0:0:0:0:0,0,1011060,0,1238434798
101107,Worldcleave Blade,Worldcleave Blade,7,10,0,0,0:0:313:24:0:10,0:0:0:0:0:0,0:0:0:0:0:0,1011070,0,,103640,1200000,2020451,0,0,0:0:0:0:0:0,0,1011070,0,1735439854
101108,Radmoon Blade,Radmoon Blade,6,10,0,5,0:0:210:15:147:10,0:0:0:0:0:0,0:0:0:0:0:0,1011080,0,,103650,1200000,2020452,0,0,0:0:0:0:0:0,0,1011080,0,3196404199
101109,Epiphany Blade Astraea,Epiphany Blade Astraea,6,10,0,5,0:0:256:19:0:19,0:0:0:0:0:0,0:0:0:0:0:0,1011090,100472,,103790,1200000,2020516,0,0,0:0:0:0:0:0,0,1011090,0,2379972674
101110,Glow Blade (Left),Glow Blade (Left),5,10,0,5,0:0:158:12:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1011100,0,,103800,1200000,2020518,0,0,0:0:0:0:0:0,0,1011100,0,3086658098
101111,Glow Blade (Right),Glow Blade (Right),5,10,0,5,0:0:158:0:0:12,0:0:0:0:0:0,0:0:0:0:0:0,1011110,0,,103810,1200000,2020519,0,0,0:0:0:0:0:0,0,1011110,0,1352684670
101112,Rebel Knife,Rebel Knife,6,10,0,6,0:0:218:23:153:17,0:0:0:0:0:0,0:0:0:0:0:0,1011120,500910,,103710,1200000,2020612,0,0,0:0:0:0:0:0,0,1011120,0,2684624686
101113,Rapier,Rapier,6,10,0,5,0:0:212:31:146:21,0:0:0:0:0:0,0:0:0:0:0:0,1011130,500940,,103740,1200000,2020618,0,0,0:0:0:0:0:0,0,1011130,0,932004164
101114,Godfetter,Godfetter,7,10,0,5,0:0:300:0:150:0,0:0:0:0:0:0,0:0:0:0:0:0,1011140,0,,103870,1200000,2020645,0,0,0:0:0:0:0:0,0,1011140,0,3625751588
101115,Heavenblade Laphilaid,Heavenblade Laphilaid,6,10,0,0,0:0:245:0:0:53,0:0:0:0:0:0,0:0:0:0:0:0,1011150,100261,,103880,1200000,2020646,0,0,0:0:0:0:0:0,0,1011150,0,1838042348
101116,Novablade Velenda,Novablade Velenda,5,10,0,0,0:0:151:0:0:21,0:0:0:0:0:0,0:0:0:0:0:0,1011160,0,,103890,1200000,2020648,0,0,0:0:0:0:0:0,0,1011160,0,188571762
101117,"Fairysword, Petals","Fairysword, Petals",6,10,0,4,0:0:274:0:0:27,0:0:0:0:0:0,0:0:0:0:0:0,1011170,100790,,103960,1200000,2020686,40,0,0:0:373:0:0:27,0,1011170,0,1503931724
101118,Fairy Heroblade,Fairy Heroblade,5,10,0,4,0:0:159:6:0:5,0:0:0:0:0:0,0:0:0:0:0:0,1011180,0,,103970,1200000,2020688,40,3,0:0:199:6:0:5,0,1011180,0,514619218
